gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -7.12e+01, cl: 2.85e+02, trSpan: -39.9594, trEntropy: 3.16, teSpan: -39.4769, tr_step: 450, time: 18.14
epi: 100, al: -2.90e+01, cl: 1.27e+02, trSpan: -34.9868, trEntropy: 3.18, teSpan: -34.7401, tr_step: 45450, time: 336.52
epi: 200, al: -1.36e+01, cl: 3.43e+01, trSpan: -31.4275, trEntropy: 3.13, teSpan: -31.3698, tr_step: 90450, time: 337.99
epi: 300, al: -1.41e+00, cl: 2.28e+00, trSpan: -28.9224, trEntropy: 3.05, teSpan: -28.9753, tr_step: 135450, time: 338.29
epi: 400, al: -5.79e-01, cl: 7.35e-01, trSpan: -26.0786, trEntropy: 2.88, teSpan: -25.9522, tr_step: 180450, time: 337.79
epi: 500, al: -1.37e+00, cl: 6.16e-01, trSpan: -24.6559, trEntropy: 2.73, teSpan: -24.5611, tr_step: 225450, time: 338.37
epi: 600, al: 1.41e-01, cl: 4.91e-01, trSpan: -23.8834, trEntropy: 2.59, teSpan: -23.7566, tr_step: 270450, time: 340.07
epi: 700, al: -1.26e-01, cl: 4.47e-01, trSpan: -23.2411, trEntropy: 2.48, teSpan: -23.3401, tr_step: 315450, time: 339.09
epi: 800, al: 1.64e-01, cl: 4.85e-01, trSpan: -23.0722, trEntropy: 2.35, teSpan: -23.1133, tr_step: 360450, time: 338.70
epi: 900, al: -4.81e-01, cl: 5.22e-01, trSpan: -23.0394, trEntropy: 2.25, teSpan: -22.8093, tr_step: 405450, time: 339.16
epi: 1000, al: 4.50e-01, cl: 3.79e-01, trSpan: -22.5622, trEntropy: 2.19, teSpan: -22.6622, tr_step: 450450, time: 340.31
epi: 1100, al: -6.71e-01, cl: 5.06e-01, trSpan: -22.5279, trEntropy: 2.13, teSpan: -22.5825, tr_step: 495450, time: 339.18
epi: 1200, al: -2.77e-03, cl: 4.36e-01, trSpan: -22.4128, trEntropy: 2.09, teSpan: -22.4907, tr_step: 540450, time: 339.81
epi: 1300, al: 2.89e-02, cl: 3.76e-01, trSpan: -22.4218, trEntropy: 2.02, teSpan: -22.3974, tr_step: 585450, time: 339.76
epi: 1400, al: -4.14e-01, cl: 4.66e-01, trSpan: -22.4288, trEntropy: 1.98, teSpan: -22.3251, tr_step: 630450, time: 339.13
epi: 1500, al: -4.53e-03, cl: 5.29e-01, trSpan: -22.4133, trEntropy: 1.96, teSpan: -22.3344, tr_step: 675450, time: 339.10
epi: 1600, al: -2.85e-01, cl: 4.18e-01, trSpan: -22.3032, trEntropy: 1.93, teSpan: -22.2780, tr_step: 720450, time: 338.47
epi: 1700, al: 2.84e-01, cl: 3.86e-01, trSpan: -22.1494, trEntropy: 1.91, teSpan: -22.1941, tr_step: 765450, time: 338.94
epi: 1800, al: 3.49e-01, cl: 4.16e-01, trSpan: -22.1576, trEntropy: 1.87, teSpan: -22.2046, tr_step: 810450, time: 338.68
epi: 1900, al: 6.77e-03, cl: 3.50e-01, trSpan: -22.3080, trEntropy: 1.80, teSpan: -22.2400, tr_step: 855450, time: 338.47
epi: 2000, al: 1.15e-01, cl: 5.23e-01, trSpan: -22.1641, trEntropy: 1.75, teSpan: -22.2352, tr_step: 900450, time: 338.78
epi: 2100, al: 1.29e-01, cl: 4.59e-01, trSpan: -22.2737, trEntropy: 1.68, teSpan: -22.1780, tr_step: 945450, time: 339.26
