gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 4000, al: 2.05e-01, cl: 2.27e-01, trSpan: -19.2158, trEntropy: 1.26, teSpan: -19.2520, tr_step: 1600400, time: 303.05
epi: 4100, al: 3.03e-02, cl: 2.09e-01, trSpan: -19.1729, trEntropy: 1.25, teSpan: -19.2859, tr_step: 1640400, time: 298.66
epi: 4200, al: 1.63e-01, cl: 2.66e-01, trSpan: -19.2899, trEntropy: 1.25, teSpan: -19.2791, tr_step: 1680400, time: 296.86
epi: 4300, al: -2.39e-01, cl: 2.83e-01, trSpan: -19.4105, trEntropy: 1.23, teSpan: -19.2879, tr_step: 1720400, time: 302.61
epi: 4400, al: 6.44e-02, cl: 1.94e-01, trSpan: -19.0991, trEntropy: 1.19, teSpan: -19.2349, tr_step: 1760400, time: 299.75
epi: 4500, al: -1.21e-01, cl: 2.51e-01, trSpan: -19.2602, trEntropy: 1.19, teSpan: -19.2136, tr_step: 1800400, time: 296.31
epi: 4600, al: -6.42e-02, cl: 2.46e-01, trSpan: -19.0761, trEntropy: 1.18, teSpan: -19.2132, tr_step: 1840400, time: 300.81
epi: 4700, al: 7.07e-03, cl: 2.00e-01, trSpan: -19.1352, trEntropy: 1.20, teSpan: -19.2483, tr_step: 1880400, time: 296.43
epi: 4800, al: -1.28e-01, cl: 2.21e-01, trSpan: -19.2965, trEntropy: 1.17, teSpan: -19.1994, tr_step: 1920400, time: 299.67
epi: 4900, al: 6.65e-02, cl: 3.01e-01, trSpan: -19.2662, trEntropy: 1.14, teSpan: -19.2605, tr_step: 1960400, time: 294.02
epi: 5000, al: -3.05e-01, cl: 3.08e-01, trSpan: -19.4088, trEntropy: 1.13, teSpan: -19.2023, tr_step: 2000400, time: 296.75
epi: 5100, al: 6.12e-02, cl: 2.95e-01, trSpan: -19.2973, trEntropy: 1.11, teSpan: -19.2349, tr_step: 2040400, time: 297.24
epi: 5200, al: 9.50e-02, cl: 2.02e-01, trSpan: -19.3439, trEntropy: 1.14, teSpan: -19.3382, tr_step: 2080400, time: 298.61
epi: 5300, al: -7.58e-02, cl: 2.55e-01, trSpan: -19.2560, trEntropy: 1.11, teSpan: -19.2379, tr_step: 2120400, time: 298.33
epi: 5400, al: 1.90e-01, cl: 2.69e-01, trSpan: -19.1983, trEntropy: 1.12, teSpan: -19.1944, tr_step: 2160400, time: 300.43
epi: 5500, al: -5.92e-03, cl: 2.71e-01, trSpan: -19.2206, trEntropy: 1.13, teSpan: -19.2176, tr_step: 2200400, time: 299.28
epi: 5600, al: 1.61e-01, cl: 2.28e-01, trSpan: -19.1435, trEntropy: 1.13, teSpan: -19.2370, tr_step: 2240400, time: 298.87
epi: 5700, al: 1.41e-01, cl: 2.99e-01, trSpan: -19.3865, trEntropy: 1.10, teSpan: -19.2438, tr_step: 2280400, time: 302.86
epi: 5800, al: 4.44e-03, cl: 2.41e-01, trSpan: -19.1959, trEntropy: 1.13, teSpan: -19.2507, tr_step: 2320400, time: 300.18
epi: 5900, al: 7.86e-02, cl: 2.67e-01, trSpan: -19.1767, trEntropy: 1.11, teSpan: -19.2199, tr_step: 2360400, time: 299.17
epi: 6000, al: -1.47e-01, cl: 2.62e-01, trSpan: -19.3214, trEntropy: 1.10, teSpan: -19.2390, tr_step: 2400400, time: 303.25
epi: 6100, al: -1.62e-01, cl: 2.33e-01, trSpan: -19.2940, trEntropy: 1.12, teSpan: -19.2884, tr_step: 2440400, time: 302.91
epi: 6200, al: 1.69e-01, cl: 2.44e-01, trSpan: -19.2209, trEntropy: 1.09, teSpan: -19.2534, tr_step: 2480400, time: 297.71
epi: 6300, al: -1.05e-01, cl: 3.35e-01, trSpan: -19.3406, trEntropy: 1.05, teSpan: -19.1490, tr_step: 2520400, time: 298.21
epi: 6400, al: -2.03e-01, cl: 3.51e-01, trSpan: -19.3515, trEntropy: 1.09, teSpan: -19.2217, tr_step: 2560400, time: 301.80
epi: 6500, al: -2.57e-01, cl: 2.74e-01, trSpan: -19.3873, trEntropy: 1.06, teSpan: -19.1926, tr_step: 2600400, time: 301.29
epi: 6600, al: -1.09e-01, cl: 2.80e-01, trSpan: -19.4290, trEntropy: 1.07, teSpan: -19.3557, tr_step: 2640400, time: 296.02
epi: 6700, al: 1.81e-01, cl: 2.68e-01, trSpan: -19.1345, trEntropy: 1.06, teSpan: -19.3063, tr_step: 2680400, time: 302.56
epi: 6800, al: 1.58e-02, cl: 2.30e-01, trSpan: -19.2934, trEntropy: 1.03, teSpan: -19.2274, tr_step: 2720400, time: 302.86
epi: 6900, al: 3.69e-02, cl: 2.82e-01, trSpan: -19.1622, trEntropy: 1.02, teSpan: -19.1803, tr_step: 2760400, time: 302.57
epi: 7000, al: 5.08e-03, cl: 2.16e-01, trSpan: -19.0295, trEntropy: 1.03, teSpan: -19.1516, tr_step: 2800400, time: 303.16
epi: 7100, al: -8.80e-03, cl: 2.17e-01, trSpan: -19.2423, trEntropy: 1.02, teSpan: -19.2084, tr_step: 2840400, time: 304.45
epi: 7200, al: -9.50e-03, cl: 2.12e-01, trSpan: -19.0916, trEntropy: 1.03, teSpan: -19.1777, tr_step: 2880400, time: 299.14
epi: 7300, al: 9.99e-03, cl: 2.48e-01, trSpan: -19.1341, trEntropy: 1.00, teSpan: -19.2262, tr_step: 2920400, time: 297.70
epi: 7400, al: 1.59e-01, cl: 2.41e-01, trSpan: -19.1412, trEntropy: 0.98, teSpan: -19.1735, tr_step: 2960400, time: 300.77
epi: 7500, al: -9.65e-02, cl: 3.43e-01, trSpan: -19.3094, trEntropy: 0.99, teSpan: -19.2355, tr_step: 3000400, time: 300.10
epi: 7600, al: 1.07e-02, cl: 2.30e-01, trSpan: -19.2320, trEntropy: 0.98, teSpan: -19.2119, tr_step: 3040400, time: 297.25
epi: 7700, al: -9.12e-02, cl: 2.25e-01, trSpan: -19.1063, trEntropy: 0.98, teSpan: -19.2491, tr_step: 3080400, time: 302.81
epi: 7800, al: -1.01e-01, cl: 2.74e-01, trSpan: -19.3223, trEntropy: 0.96, teSpan: -19.2367, tr_step: 3120400, time: 297.22
epi: 7900, al: 7.99e-02, cl: 2.62e-01, trSpan: -19.2010, trEntropy: 0.97, teSpan: -19.3128, tr_step: 3160400, time: 300.75
epi: 8000, al: -1.34e-02, cl: 2.41e-01, trSpan: -19.2421, trEntropy: 0.99, teSpan: -19.2092, tr_step: 3200400, time: 297.65
epi: 8100, al: 1.71e-01, cl: 2.70e-01, trSpan: -19.1373, trEntropy: 0.99, teSpan: -19.2046, tr_step: 3240400, time: 300.80
epi: 8200, al: -1.69e-01, cl: 2.81e-01, trSpan: -19.3050, trEntropy: 1.00, teSpan: -19.1574, tr_step: 3280400, time: 299.34
epi: 8300, al: -1.97e-01, cl: 2.90e-01, trSpan: -19.3370, trEntropy: 1.00, teSpan: -19.1644, tr_step: 3320400, time: 300.69
epi: 8400, al: 6.69e-02, cl: 2.42e-01, trSpan: -19.2874, trEntropy: 0.98, teSpan: -19.1748, tr_step: 3360400, time: 297.46
epi: 8500, al: 1.50e-02, cl: 2.57e-01, trSpan: -19.2335, trEntropy: 0.96, teSpan: -19.1409, tr_step: 3400400, time: 302.15
epi: 8600, al: -6.34e-02, cl: 2.58e-01, trSpan: -19.4362, trEntropy: 0.94, teSpan: -19.1326, tr_step: 3440400, time: 302.90
epi: 8700, al: 3.89e-02, cl: 2.60e-01, trSpan: -19.3212, trEntropy: 0.94, teSpan: -19.1365, tr_step: 3480400, time: 297.22
epi: 8800, al: 6.24e-02, cl: 2.47e-01, trSpan: -19.0639, trEntropy: 0.95, teSpan: -19.1574, tr_step: 3520400, time: 300.02
epi: 8900, al: -4.14e-02, cl: 2.59e-01, trSpan: -19.1494, trEntropy: 0.91, teSpan: -19.1205, tr_step: 3560400, time: 299.89
epi: 9000, al: 6.88e-02, cl: 2.69e-01, trSpan: -19.0712, trEntropy: 0.91, teSpan: -19.1259, tr_step: 3600400, time: 296.57
epi: 9100, al: 5.71e-02, cl: 2.36e-01, trSpan: -19.1614, trEntropy: 0.91, teSpan: -19.1096, tr_step: 3640400, time: 298.70
epi: 9200, al: 4.82e-03, cl: 2.19e-01, trSpan: -19.1673, trEntropy: 0.89, teSpan: -19.1705, tr_step: 3680400, time: 299.69
epi: 9300, al: -7.83e-02, cl: 2.80e-01, trSpan: -19.1730, trEntropy: 0.88, teSpan: -19.2570, tr_step: 3720400, time: 300.01
epi: 9400, al: 9.75e-02, cl: 2.23e-01, trSpan: -19.1783, trEntropy: 0.91, teSpan: -19.2351, tr_step: 3760400, time: 300.51
epi: 9500, al: 6.75e-02, cl: 2.64e-01, trSpan: -19.1949, trEntropy: 0.92, teSpan: -19.1994, tr_step: 3800400, time: 300.09
epi: 9600, al: 1.45e-01, cl: 2.35e-01, trSpan: -19.2011, trEntropy: 0.93, teSpan: -19.2451, tr_step: 3840400, time: 297.18
