gpu-03
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -7.77e+01, cl: 3.48e+02, trSpan: -45.6133, trEntropy: 3.19, teSpan: -45.0347, tr_step: 600, time: 24.54
epi: 100, al: -2.27e+01, cl: 1.08e+02, trSpan: -38.4595, trEntropy: 3.20, teSpan: -38.5623, tr_step: 60600, time: 451.94
epi: 200, al: -1.13e+01, cl: 3.13e+01, trSpan: -35.2441, trEntropy: 3.15, teSpan: -34.9821, tr_step: 120600, time: 453.59
epi: 300, al: -2.47e+00, cl: 4.54e+00, trSpan: -32.3120, trEntropy: 3.08, teSpan: -32.3149, tr_step: 180600, time: 455.38
epi: 400, al: -7.29e-01, cl: 1.19e+00, trSpan: -29.4782, trEntropy: 2.92, teSpan: -29.3320, tr_step: 240600, time: 455.40
epi: 500, al: -5.64e-01, cl: 8.52e-01, trSpan: -27.7116, trEntropy: 2.75, teSpan: -27.4881, tr_step: 300600, time: 452.78
epi: 600, al: -1.79e-01, cl: 5.79e-01, trSpan: -26.5552, trEntropy: 2.63, teSpan: -26.6261, tr_step: 360600, time: 456.73
epi: 700, al: -5.26e-02, cl: 4.98e-01, trSpan: -25.8713, trEntropy: 2.52, teSpan: -26.0800, tr_step: 420600, time: 455.43
epi: 800, al: -5.82e-01, cl: 5.46e-01, trSpan: -25.8283, trEntropy: 2.43, teSpan: -25.7123, tr_step: 480600, time: 455.29
epi: 900, al: -1.07e+00, cl: 4.83e-01, trSpan: -25.5073, trEntropy: 2.36, teSpan: -25.6055, tr_step: 540600, time: 451.99
epi: 1000, al: 3.90e-01, cl: 4.76e-01, trSpan: -25.2873, trEntropy: 2.31, teSpan: -25.3020, tr_step: 600600, time: 451.70
epi: 1100, al: 1.24e-01, cl: 4.69e-01, trSpan: -25.0526, trEntropy: 2.21, teSpan: -25.1404, tr_step: 660600, time: 451.91
epi: 1200, al: 6.86e-01, cl: 4.65e-01, trSpan: -24.8612, trEntropy: 2.17, teSpan: -24.9780, tr_step: 720600, time: 454.22
epi: 1300, al: -3.89e-01, cl: 4.36e-01, trSpan: -24.8773, trEntropy: 2.10, teSpan: -24.9075, tr_step: 780600, time: 452.73
epi: 1400, al: -4.32e-01, cl: 3.84e-01, trSpan: -24.9409, trEntropy: 2.05, teSpan: -24.8426, tr_step: 840600, time: 452.68
epi: 1500, al: -4.96e-01, cl: 4.54e-01, trSpan: -24.8780, trEntropy: 2.01, teSpan: -24.7829, tr_step: 900600, time: 453.71
epi: 1600, al: 3.25e-01, cl: 4.54e-01, trSpan: -24.7479, trEntropy: 1.98, teSpan: -24.7094, tr_step: 960600, time: 453.29
epi: 1700, al: -2.88e-01, cl: 4.41e-01, trSpan: -24.6031, trEntropy: 1.97, teSpan: -24.6563, tr_step: 1020600, time: 453.37
epi: 1800, al: 1.80e-01, cl: 4.43e-01, trSpan: -24.5624, trEntropy: 1.92, teSpan: -24.5545, tr_step: 1080600, time: 450.42
epi: 1900, al: -3.46e-02, cl: 3.94e-01, trSpan: -24.8823, trEntropy: 1.86, teSpan: -24.8154, tr_step: 1140600, time: 454.13
epi: 2000, al: -2.32e-01, cl: 4.24e-01, trSpan: -24.7057, trEntropy: 1.86, teSpan: -24.5911, tr_step: 1200600, time: 451.47
epi: 2100, al: -4.04e-01, cl: 4.45e-01, trSpan: -24.6288, trEntropy: 1.84, teSpan: -24.5528, tr_step: 1260600, time: 451.73
epi: 2200, al: 5.66e-01, cl: 4.40e-01, trSpan: -24.4798, trEntropy: 1.81, teSpan: -24.4723, tr_step: 1320600, time: 451.23
epi: 2300, al: 6.27e-01, cl: 4.60e-01, trSpan: -24.5287, trEntropy: 1.79, teSpan: -24.5121, tr_step: 1380600, time: 452.35
epi: 2400, al: -3.12e-01, cl: 4.00e-01, trSpan: -24.5932, trEntropy: 1.78, teSpan: -24.5861, tr_step: 1440600, time: 454.21
epi: 2500, al: -1.78e-02, cl: 3.85e-01, trSpan: -24.7260, trEntropy: 1.77, teSpan: -24.5909, tr_step: 1500600, time: 449.23
epi: 2600, al: -2.87e-01, cl: 3.53e-01, trSpan: -24.3588, trEntropy: 1.77, teSpan: -24.5165, tr_step: 1560600, time: 453.66
epi: 2700, al: -1.35e-01, cl: 3.55e-01, trSpan: -24.4015, trEntropy: 1.74, teSpan: -24.4638, tr_step: 1620600, time: 449.61
epi: 2800, al: 6.05e-01, cl: 5.19e-01, trSpan: -24.5373, trEntropy: 1.73, teSpan: -24.5182, tr_step: 1680600, time: 451.83
epi: 2900, al: -2.16e-02, cl: 3.57e-01, trSpan: -24.4729, trEntropy: 1.70, teSpan: -24.5579, tr_step: 1740600, time: 452.47
epi: 3000, al: 3.03e-01, cl: 3.78e-01, trSpan: -24.6465, trEntropy: 1.67, teSpan: -24.4505, tr_step: 1800600, time: 453.12
epi: 3100, al: 3.47e-02, cl: 2.98e-01, trSpan: -24.2266, trEntropy: 1.67, teSpan: -24.4328, tr_step: 1860600, time: 449.37
epi: 3200, al: -5.08e-01, cl: 3.69e-01, trSpan: -24.4224, trEntropy: 1.66, teSpan: -24.3934, tr_step: 1920600, time: 454.22
epi: 3300, al: -8.91e-02, cl: 4.02e-01, trSpan: -24.5063, trEntropy: 1.63, teSpan: -24.3940, tr_step: 1980600, time: 447.16
