gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -3.57e+01, cl: 1.15e+02, trSpan: -25.6791, trEntropy: 2.48, teSpan: -26.4273, tr_step: 225, time: 7.16
epi: 100, al: -1.43e+01, cl: 4.82e+01, trSpan: -22.8410, trEntropy: 2.51, teSpan: -22.9317, tr_step: 22725, time: 151.78
epi: 200, al: -3.80e+00, cl: 5.40e+00, trSpan: -20.6325, trEntropy: 2.45, teSpan: -20.4045, tr_step: 45225, time: 152.62
epi: 300, al: -7.22e-02, cl: 7.20e-01, trSpan: -18.3496, trEntropy: 2.37, teSpan: -18.3013, tr_step: 67725, time: 152.73
epi: 400, al: -8.13e-02, cl: 3.74e-01, trSpan: -16.9069, trEntropy: 2.24, teSpan: -16.8971, tr_step: 90225, time: 153.18
epi: 500, al: 4.79e-01, cl: 3.33e-01, trSpan: -15.8168, trEntropy: 2.11, teSpan: -16.0023, tr_step: 112725, time: 153.28
epi: 600, al: -9.09e-02, cl: 3.04e-01, trSpan: -15.4822, trEntropy: 1.97, teSpan: -15.5297, tr_step: 135225, time: 154.22
epi: 700, al: -1.11e-02, cl: 2.74e-01, trSpan: -15.2737, trEntropy: 1.85, teSpan: -15.1859, tr_step: 157725, time: 153.49
epi: 800, al: 4.40e-01, cl: 2.56e-01, trSpan: -14.8902, trEntropy: 1.79, teSpan: -15.0575, tr_step: 180225, time: 153.33
epi: 900, al: -1.79e-01, cl: 2.63e-01, trSpan: -15.0205, trEntropy: 1.71, teSpan: -14.8869, tr_step: 202725, time: 152.32
epi: 1000, al: 1.70e-01, cl: 2.35e-01, trSpan: -14.6962, trEntropy: 1.67, teSpan: -14.8402, tr_step: 225225, time: 152.67
epi: 1100, al: 2.73e-01, cl: 2.08e-01, trSpan: -14.7870, trEntropy: 1.62, teSpan: -14.7817, tr_step: 247725, time: 153.43
epi: 1200, al: -6.90e-02, cl: 2.12e-01, trSpan: -14.7260, trEntropy: 1.58, teSpan: -14.7397, tr_step: 270225, time: 153.79
epi: 1300, al: 2.36e-02, cl: 2.43e-01, trSpan: -14.8269, trEntropy: 1.56, teSpan: -14.7268, tr_step: 292725, time: 152.88
epi: 1400, al: 1.21e-01, cl: 1.97e-01, trSpan: -14.6176, trEntropy: 1.49, teSpan: -14.6345, tr_step: 315225, time: 153.36
epi: 1500, al: -3.09e-02, cl: 1.83e-01, trSpan: -14.6811, trEntropy: 1.46, teSpan: -14.6417, tr_step: 337725, time: 153.29
epi: 1600, al: -3.85e-02, cl: 1.93e-01, trSpan: -14.6070, trEntropy: 1.44, teSpan: -14.6358, tr_step: 360225, time: 153.33
epi: 1700, al: -1.20e-02, cl: 1.85e-01, trSpan: -14.6080, trEntropy: 1.39, teSpan: -14.6138, tr_step: 382725, time: 153.58
epi: 1800, al: -1.70e-01, cl: 1.69e-01, trSpan: -14.5230, trEntropy: 1.34, teSpan: -14.6025, tr_step: 405225, time: 152.82
epi: 1900, al: -5.52e-02, cl: 2.41e-01, trSpan: -14.7784, trEntropy: 1.32, teSpan: -14.5702, tr_step: 427725, time: 152.92
epi: 2000, al: -1.34e-01, cl: 2.26e-01, trSpan: -14.6078, trEntropy: 1.31, teSpan: -14.5787, tr_step: 450225, time: 153.63
epi: 2100, al: 1.04e-01, cl: 1.90e-01, trSpan: -14.4615, trEntropy: 1.29, teSpan: -14.5408, tr_step: 472725, time: 153.95
epi: 2200, al: -3.70e-01, cl: 2.24e-01, trSpan: -14.6265, trEntropy: 1.26, teSpan: -14.4720, tr_step: 495225, time: 152.81
epi: 2300, al: -2.91e-01, cl: 2.57e-01, trSpan: -14.8624, trEntropy: 1.25, teSpan: -14.5034, tr_step: 517725, time: 153.78
epi: 2400, al: 1.22e-02, cl: 2.20e-01, trSpan: -14.5362, trEntropy: 1.23, teSpan: -14.4714, tr_step: 540225, time: 153.91
epi: 2500, al: 2.46e-01, cl: 1.75e-01, trSpan: -14.3448, trEntropy: 1.22, teSpan: -14.4459, tr_step: 562725, time: 152.41
epi: 2600, al: -2.83e-01, cl: 2.38e-01, trSpan: -14.4606, trEntropy: 1.21, teSpan: -14.4694, tr_step: 585225, time: 153.18
epi: 2700, al: -3.20e-01, cl: 2.03e-01, trSpan: -14.5028, trEntropy: 1.21, teSpan: -14.4277, tr_step: 607725, time: 154.37
epi: 2800, al: -1.43e-02, cl: 2.15e-01, trSpan: -14.5831, trEntropy: 1.19, teSpan: -14.4678, tr_step: 630225, time: 153.27
epi: 2900, al: 1.79e-01, cl: 2.08e-01, trSpan: -14.5033, trEntropy: 1.15, teSpan: -14.6051, tr_step: 652725, time: 153.21
epi: 3000, al: 5.66e-02, cl: 1.66e-01, trSpan: -14.2797, trEntropy: 1.14, teSpan: -14.4074, tr_step: 675225, time: 152.72
epi: 3100, al: 6.66e-02, cl: 2.17e-01, trSpan: -14.3563, trEntropy: 1.14, teSpan: -14.3601, tr_step: 697725, time: 153.65
epi: 3200, al: -9.09e-02, cl: 2.21e-01, trSpan: -14.5953, trEntropy: 1.11, teSpan: -14.4486, tr_step: 720225, time: 153.57
epi: 3300, al: 6.86e-02, cl: 2.32e-01, trSpan: -14.2860, trEntropy: 1.12, teSpan: -14.4164, tr_step: 742725, time: 153.48
epi: 3400, al: 6.13e-02, cl: 2.52e-01, trSpan: -14.4505, trEntropy: 1.11, teSpan: -14.3872, tr_step: 765225, time: 153.01
epi: 3500, al: 1.12e-01, cl: 1.72e-01, trSpan: -14.3763, trEntropy: 1.11, teSpan: -14.3794, tr_step: 787725, time: 153.50
epi: 3600, al: 2.06e-01, cl: 2.42e-01, trSpan: -14.2561, trEntropy: 1.09, teSpan: -14.3816, tr_step: 810225, time: 152.65
epi: 3700, al: -1.66e-02, cl: 1.67e-01, trSpan: -14.4774, trEntropy: 1.07, teSpan: -14.3929, tr_step: 832725, time: 152.03
epi: 3800, al: 2.72e-01, cl: 2.16e-01, trSpan: -14.5079, trEntropy: 1.05, teSpan: -14.4266, tr_step: 855225, time: 151.89
epi: 3900, al: 1.39e-01, cl: 1.84e-01, trSpan: -14.4362, trEntropy: 1.06, teSpan: -14.4035, tr_step: 877725, time: 152.02
epi: 4000, al: -5.26e-02, cl: 2.62e-01, trSpan: -14.3582, trEntropy: 1.04, teSpan: -14.3789, tr_step: 900225, time: 152.09
epi: 4100, al: 8.06e-03, cl: 2.08e-01, trSpan: -14.5179, trEntropy: 1.05, teSpan: -14.3960, tr_step: 922725, time: 151.75
epi: 4200, al: -4.37e-02, cl: 2.18e-01, trSpan: -14.4262, trEntropy: 1.02, teSpan: -14.3314, tr_step: 945225, time: 152.09
epi: 4300, al: 3.28e-02, cl: 2.10e-01, trSpan: -14.3167, trEntropy: 1.02, teSpan: -14.3477, tr_step: 967725, time: 151.57
epi: 4400, al: 7.82e-02, cl: 2.07e-01, trSpan: -14.3493, trEntropy: 1.01, teSpan: -14.4020, tr_step: 990225, time: 151.87
epi: 4500, al: 1.45e-02, cl: 1.78e-01, trSpan: -14.4223, trEntropy: 0.97, teSpan: -14.4111, tr_step: 1012725, time: 152.27
epi: 4600, al: 6.97e-02, cl: 1.77e-01, trSpan: -14.3832, trEntropy: 0.98, teSpan: -14.4084, tr_step: 1035225, time: 151.98
epi: 4700, al: 1.95e-02, cl: 2.09e-01, trSpan: -14.3260, trEntropy: 0.96, teSpan: -14.3695, tr_step: 1057725, time: 152.13
epi: 4800, al: -1.41e-01, cl: 2.14e-01, trSpan: -14.4695, trEntropy: 0.95, teSpan: -14.3824, tr_step: 1080225, time: 152.50
