gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 4100, al: -8.46e-02, cl: 1.32e-01, trSpan: -9.4301, trEntropy: 0.64, teSpan: -9.4903, tr_step: 410100, time: 3.18
epi: 4200, al: -2.30e-02, cl: 1.32e-01, trSpan: -9.5059, trEntropy: 0.59, teSpan: -9.4561, tr_step: 420100, time: 3.10
epi: 4300, al: -6.38e-02, cl: 1.29e-01, trSpan: -9.5217, trEntropy: 0.59, teSpan: -9.4576, tr_step: 430100, time: 3.16
epi: 4400, al: -4.22e-02, cl: 1.60e-01, trSpan: -9.4580, trEntropy: 0.60, teSpan: -9.4291, tr_step: 440100, time: 3.15
epi: 4500, al: 5.06e-02, cl: 1.37e-01, trSpan: -9.2740, trEntropy: 0.60, teSpan: -9.4405, tr_step: 450100, time: 3.14
epi: 4600, al: -9.28e-04, cl: 1.31e-01, trSpan: -9.3605, trEntropy: 0.58, teSpan: -9.4021, tr_step: 460100, time: 3.11
epi: 4700, al: 4.73e-02, cl: 1.56e-01, trSpan: -9.5020, trEntropy: 0.52, teSpan: -9.4373, tr_step: 470100, time: 3.12
epi: 4800, al: -1.92e-02, cl: 1.65e-01, trSpan: -9.4717, trEntropy: 0.58, teSpan: -9.4144, tr_step: 480100, time: 3.13
epi: 4900, al: -3.55e-02, cl: 1.24e-01, trSpan: -9.5200, trEntropy: 0.59, teSpan: -9.4606, tr_step: 490100, time: 3.11
epi: 5000, al: -6.28e-02, cl: 1.37e-01, trSpan: -9.5121, trEntropy: 0.61, teSpan: -9.4360, tr_step: 500100, time: 3.14
epi: 5100, al: -1.95e-02, cl: 1.36e-01, trSpan: -9.3669, trEntropy: 0.60, teSpan: -9.4302, tr_step: 510100, time: 3.13
epi: 5200, al: 3.31e-02, cl: 1.26e-01, trSpan: -9.4323, trEntropy: 0.55, teSpan: -9.4082, tr_step: 520100, time: 3.14
epi: 5300, al: 6.13e-02, cl: 1.26e-01, trSpan: -9.5558, trEntropy: 0.56, teSpan: -9.4627, tr_step: 530100, time: 3.13
epi: 5400, al: -5.66e-02, cl: 1.13e-01, trSpan: -9.4893, trEntropy: 0.54, teSpan: -9.4369, tr_step: 540100, time: 3.15
epi: 5500, al: 3.58e-02, cl: 1.55e-01, trSpan: -9.4423, trEntropy: 0.55, teSpan: -9.4522, tr_step: 550100, time: 3.15
epi: 5600, al: -4.70e-02, cl: 1.61e-01, trSpan: -9.3978, trEntropy: 0.56, teSpan: -9.4372, tr_step: 560100, time: 3.11
epi: 5700, al: 2.26e-02, cl: 1.41e-01, trSpan: -9.3963, trEntropy: 0.56, teSpan: -9.4114, tr_step: 570100, time: 3.17
epi: 5800, al: 5.33e-02, cl: 1.33e-01, trSpan: -9.3410, trEntropy: 0.56, teSpan: -9.4348, tr_step: 580100, time: 3.17
epi: 5900, al: -3.41e-02, cl: 1.42e-01, trSpan: -9.4011, trEntropy: 0.56, teSpan: -9.4109, tr_step: 590100, time: 3.14
epi: 6000, al: 7.43e-02, cl: 1.36e-01, trSpan: -9.3600, trEntropy: 0.57, teSpan: -9.4238, tr_step: 600100, time: 3.09
epi: 6100, al: -3.65e-02, cl: 1.07e-01, trSpan: -9.4578, trEntropy: 0.54, teSpan: -9.4037, tr_step: 610100, time: 3.15
