gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -4.81e+01, cl: 1.70e+02, trSpan: -31.1101, trEntropy: 2.76, teSpan: -31.1638, tr_step: 300, time: 11.27
epi: 100, al: -1.96e+01, cl: 7.36e+01, trSpan: -27.3844, trEntropy: 2.78, teSpan: -27.3578, tr_step: 30300, time: 216.51
epi: 200, al: -7.52e+00, cl: 1.42e+01, trSpan: -24.9940, trEntropy: 2.75, teSpan: -24.9814, tr_step: 60300, time: 218.39
epi: 300, al: -8.63e-01, cl: 1.14e+00, trSpan: -22.9233, trEntropy: 2.70, teSpan: -22.9518, tr_step: 90300, time: 221.39
epi: 400, al: 5.46e-01, cl: 5.33e-01, trSpan: -20.6583, trEntropy: 2.59, teSpan: -20.7280, tr_step: 120300, time: 223.00
epi: 500, al: 2.20e-01, cl: 3.79e-01, trSpan: -19.1231, trEntropy: 2.40, teSpan: -19.1554, tr_step: 150300, time: 224.81
epi: 600, al: 2.69e-01, cl: 4.42e-01, trSpan: -18.4441, trEntropy: 2.25, teSpan: -18.3824, tr_step: 180300, time: 219.82
epi: 700, al: -6.43e-02, cl: 3.76e-01, trSpan: -17.9277, trEntropy: 2.12, teSpan: -17.9461, tr_step: 210300, time: 222.96
epi: 800, al: 1.53e-02, cl: 3.00e-01, trSpan: -17.6045, trEntropy: 2.02, teSpan: -17.6672, tr_step: 240300, time: 220.02
epi: 900, al: -1.15e-01, cl: 2.97e-01, trSpan: -17.6296, trEntropy: 1.94, teSpan: -17.5243, tr_step: 270300, time: 222.85
epi: 1000, al: -1.02e-01, cl: 3.45e-01, trSpan: -17.3426, trEntropy: 1.86, teSpan: -17.4300, tr_step: 300300, time: 222.73
epi: 1100, al: 2.53e-01, cl: 2.35e-01, trSpan: -17.1956, trEntropy: 1.82, teSpan: -17.2948, tr_step: 330300, time: 226.02
