gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -7.15e+00, cl: 1.21e+01, trSpan: -8.4028, trEntropy: 1.50, teSpan: -8.4106, tr_step: 36, time: 1.29
epi: 100, al: -7.97e-01, cl: 1.26e+00, trSpan: -7.5204, trEntropy: 1.51, teSpan: -7.4505, tr_step: 3636, time: 26.46
epi: 200, al: 6.08e-02, cl: 2.41e-01, trSpan: -6.5340, trEntropy: 1.41, teSpan: -6.5008, tr_step: 7236, time: 26.94
epi: 300, al: -6.12e-03, cl: 1.72e-01, trSpan: -6.0528, trEntropy: 1.26, teSpan: -6.0688, tr_step: 10836, time: 27.04
epi: 400, al: -1.63e-01, cl: 1.32e-01, trSpan: -6.0649, trEntropy: 1.09, teSpan: -5.8259, tr_step: 14436, time: 26.51
epi: 500, al: 1.49e-02, cl: 1.00e-01, trSpan: -5.5774, trEntropy: 0.99, teSpan: -5.7159, tr_step: 18036, time: 27.28
epi: 600, al: -5.10e-02, cl: 9.69e-02, trSpan: -5.6074, trEntropy: 0.89, teSpan: -5.6453, tr_step: 21636, time: 27.30
epi: 700, al: -9.56e-03, cl: 7.53e-02, trSpan: -5.5297, trEntropy: 0.83, teSpan: -5.5877, tr_step: 25236, time: 26.46
epi: 800, al: 4.80e-02, cl: 8.66e-02, trSpan: -5.5512, trEntropy: 0.75, teSpan: -5.5768, tr_step: 28836, time: 25.75
epi: 900, al: -5.87e-02, cl: 8.64e-02, trSpan: -5.5634, trEntropy: 0.71, teSpan: -5.5231, tr_step: 32436, time: 27.40
epi: 1000, al: -5.92e-03, cl: 9.08e-02, trSpan: -5.5178, trEntropy: 0.66, teSpan: -5.5301, tr_step: 36036, time: 26.88
epi: 1100, al: 2.48e-02, cl: 8.70e-02, trSpan: -5.4652, trEntropy: 0.64, teSpan: -5.5147, tr_step: 39636, time: 27.27
epi: 1200, al: 5.34e-02, cl: 1.12e-01, trSpan: -5.3862, trEntropy: 0.63, teSpan: -5.5136, tr_step: 43236, time: 26.89
epi: 1300, al: -1.86e-02, cl: 1.33e-01, trSpan: -5.5251, trEntropy: 0.58, teSpan: -5.5096, tr_step: 46836, time: 26.98
epi: 1400, al: -3.47e-02, cl: 9.88e-02, trSpan: -5.5654, trEntropy: 0.56, teSpan: -5.5058, tr_step: 50436, time: 26.85
epi: 1500, al: 2.38e-02, cl: 8.97e-02, trSpan: -5.6074, trEntropy: 0.54, teSpan: -5.5037, tr_step: 54036, time: 27.17
epi: 1600, al: 5.43e-02, cl: 7.92e-02, trSpan: -5.4459, trEntropy: 0.53, teSpan: -5.4957, tr_step: 57636, time: 27.14
epi: 1700, al: 6.94e-03, cl: 8.70e-02, trSpan: -5.5295, trEntropy: 0.52, teSpan: -5.4770, tr_step: 61236, time: 27.28
epi: 1800, al: -8.15e-03, cl: 7.72e-02, trSpan: -5.4453, trEntropy: 0.50, teSpan: -5.4911, tr_step: 64836, time: 26.87
epi: 1900, al: 2.56e-02, cl: 8.38e-02, trSpan: -5.3941, trEntropy: 0.49, teSpan: -5.4817, tr_step: 68436, time: 27.51
epi: 2000, al: 1.12e-02, cl: 8.74e-02, trSpan: -5.4832, trEntropy: 0.44, teSpan: -5.5019, tr_step: 72036, time: 27.27
