gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -1.72e+01, cl: 3.95e+01, trSpan: -15.3820, trEntropy: 2.05, teSpan: -15.3402, tr_step: 100, time: 3.19
epi: 100, al: -3.09e+00, cl: 6.96e+00, trSpan: -12.5767, trEntropy: 2.01, teSpan: -12.7867, tr_step: 10100, time: 65.77
epi: 200, al: -9.99e-02, cl: 5.58e-01, trSpan: -11.2729, trEntropy: 1.86, teSpan: -11.3028, tr_step: 20100, time: 66.80
epi: 300, al: -7.76e-02, cl: 2.64e-01, trSpan: -10.5494, trEntropy: 1.69, teSpan: -10.5575, tr_step: 30100, time: 67.18
epi: 400, al: 6.49e-02, cl: 2.33e-01, trSpan: -10.1487, trEntropy: 1.56, teSpan: -10.1585, tr_step: 40100, time: 67.56
epi: 500, al: -8.38e-03, cl: 1.77e-01, trSpan: -9.9847, trEntropy: 1.45, teSpan: -9.9693, tr_step: 50100, time: 67.70
epi: 600, al: -8.99e-02, cl: 1.97e-01, trSpan: -9.7527, trEntropy: 1.37, teSpan: -9.8422, tr_step: 60100, time: 68.27
epi: 700, al: -3.84e-02, cl: 2.28e-01, trSpan: -9.7139, trEntropy: 1.28, teSpan: -9.7502, tr_step: 70100, time: 67.66
epi: 800, al: -5.46e-02, cl: 1.41e-01, trSpan: -9.6798, trEntropy: 1.22, teSpan: -9.6917, tr_step: 80100, time: 68.19
epi: 900, al: 1.24e-02, cl: 1.44e-01, trSpan: -9.7657, trEntropy: 1.16, teSpan: -9.6483, tr_step: 90100, time: 68.41
epi: 1000, al: 1.18e-01, cl: 1.58e-01, trSpan: -9.5871, trEntropy: 1.15, teSpan: -9.6331, tr_step: 100100, time: 68.33
epi: 1100, al: 7.41e-02, cl: 1.38e-01, trSpan: -9.4816, trEntropy: 1.09, teSpan: -9.6129, tr_step: 110100, time: 68.07
epi: 1200, al: 8.80e-02, cl: 1.57e-01, trSpan: -9.4941, trEntropy: 1.05, teSpan: -9.5681, tr_step: 120100, time: 68.19
epi: 1300, al: 9.45e-02, cl: 1.60e-01, trSpan: -9.3767, trEntropy: 1.02, teSpan: -9.5765, tr_step: 130100, time: 67.94
epi: 1400, al: 7.99e-04, cl: 1.36e-01, trSpan: -9.4907, trEntropy: 0.99, teSpan: -9.5811, tr_step: 140100, time: 68.52
epi: 1500, al: -8.07e-03, cl: 1.56e-01, trSpan: -9.5302, trEntropy: 0.97, teSpan: -9.5265, tr_step: 150100, time: 68.64
epi: 1600, al: -1.28e-02, cl: 1.54e-01, trSpan: -9.6769, trEntropy: 0.93, teSpan: -9.5166, tr_step: 160100, time: 68.59
epi: 1700, al: -2.04e-01, cl: 1.86e-01, trSpan: -9.5638, trEntropy: 0.93, teSpan: -9.5432, tr_step: 170100, time: 68.62
epi: 1800, al: -2.21e-03, cl: 1.46e-01, trSpan: -9.4520, trEntropy: 0.90, teSpan: -9.4781, tr_step: 180100, time: 68.34
epi: 1900, al: -9.57e-03, cl: 1.37e-01, trSpan: -9.5364, trEntropy: 0.86, teSpan: -9.4938, tr_step: 190100, time: 68.39
epi: 2000, al: 4.97e-03, cl: 1.63e-01, trSpan: -9.5088, trEntropy: 0.83, teSpan: -9.4626, tr_step: 200100, time: 68.16
epi: 2100, al: -3.37e-02, cl: 1.46e-01, trSpan: -9.5893, trEntropy: 0.82, teSpan: -9.4845, tr_step: 210100, time: 67.68
epi: 2200, al: -9.63e-02, cl: 2.02e-01, trSpan: -9.7835, trEntropy: 0.79, teSpan: -9.4663, tr_step: 220100, time: 68.10
epi: 2300, al: -5.00e-02, cl: 1.45e-01, trSpan: -9.3967, trEntropy: 0.77, teSpan: -9.4795, tr_step: 230100, time: 67.80
epi: 2400, al: 9.51e-02, cl: 1.48e-01, trSpan: -9.4192, trEntropy: 0.75, teSpan: -9.4796, tr_step: 240100, time: 68.14
epi: 2500, al: 5.19e-03, cl: 1.49e-01, trSpan: -9.5147, trEntropy: 0.71, teSpan: -9.4478, tr_step: 250100, time: 67.89
epi: 2600, al: 3.74e-02, cl: 1.23e-01, trSpan: -9.5298, trEntropy: 0.69, teSpan: -9.4640, tr_step: 260100, time: 68.30
epi: 2700, al: -1.07e-01, cl: 1.90e-01, trSpan: -9.4544, trEntropy: 0.69, teSpan: -9.4930, tr_step: 270100, time: 68.34
epi: 2800, al: -3.11e-02, cl: 1.27e-01, trSpan: -9.5326, trEntropy: 0.63, teSpan: -9.4657, tr_step: 280100, time: 68.08
epi: 2900, al: 1.02e-01, cl: 1.68e-01, trSpan: -9.5286, trEntropy: 0.70, teSpan: -9.5104, tr_step: 290100, time: 68.08
epi: 3000, al: -5.45e-02, cl: 1.66e-01, trSpan: -9.6104, trEntropy: 0.66, teSpan: -9.4575, tr_step: 300100, time: 68.14
epi: 3100, al: 1.61e-01, cl: 1.63e-01, trSpan: -9.3417, trEntropy: 0.69, teSpan: -9.4395, tr_step: 310100, time: 68.41
epi: 3200, al: 4.16e-02, cl: 1.37e-01, trSpan: -9.5220, trEntropy: 0.66, teSpan: -9.4535, tr_step: 320100, time: 68.12
epi: 3300, al: -1.05e-02, cl: 1.81e-01, trSpan: -9.6074, trEntropy: 0.64, teSpan: -9.4645, tr_step: 330100, time: 68.38
epi: 3400, al: -2.75e-02, cl: 1.56e-01, trSpan: -9.4140, trEntropy: 0.69, teSpan: -9.4685, tr_step: 340100, time: 68.99
epi: 3500, al: -8.72e-02, cl: 1.59e-01, trSpan: -9.5918, trEntropy: 0.69, teSpan: -9.4505, tr_step: 350100, time: 68.01
epi: 3600, al: -5.31e-02, cl: 1.86e-01, trSpan: -9.5255, trEntropy: 0.65, teSpan: -9.4113, tr_step: 360100, time: 68.40
epi: 3700, al: -2.25e-03, cl: 1.40e-01, trSpan: -9.5226, trEntropy: 0.63, teSpan: -9.4243, tr_step: 370100, time: 68.37
epi: 3800, al: -2.94e-02, cl: 1.61e-01, trSpan: -9.3690, trEntropy: 0.63, teSpan: -9.4433, tr_step: 380100, time: 68.00
epi: 3900, al: -1.61e-02, cl: 1.59e-01, trSpan: -9.3834, trEntropy: 0.63, teSpan: -9.4463, tr_step: 390100, time: 67.91
epi: 4000, al: 4.78e-02, cl: 1.34e-01, trSpan: -9.3764, trEntropy: 0.59, teSpan: -9.4267, tr_step: 400100, time: 68.40
epi: 4100, al: -8.46e-02, cl: 1.32e-01, trSpan: -9.4301, trEntropy: 0.64, teSpan: -9.4814, tr_step: 410100, time: 67.96
epi: 4200, al: -2.30e-02, cl: 1.32e-01, trSpan: -9.5059, trEntropy: 0.59, teSpan: -9.4573, tr_step: 420100, time: 68.24
epi: 4300, al: -6.38e-02, cl: 1.29e-01, trSpan: -9.5217, trEntropy: 0.59, teSpan: -9.4507, tr_step: 430100, time: 67.59
epi: 4400, al: -4.22e-02, cl: 1.60e-01, trSpan: -9.4580, trEntropy: 0.60, teSpan: -9.4345, tr_step: 440100, time: 68.20
epi: 4500, al: 5.06e-02, cl: 1.37e-01, trSpan: -9.2740, trEntropy: 0.60, teSpan: -9.4248, tr_step: 450100, time: 68.49
epi: 4600, al: -9.28e-04, cl: 1.31e-01, trSpan: -9.3605, trEntropy: 0.58, teSpan: -9.4327, tr_step: 460100, time: 68.87
epi: 4700, al: 4.73e-02, cl: 1.56e-01, trSpan: -9.5020, trEntropy: 0.52, teSpan: -9.4212, tr_step: 470100, time: 68.18
epi: 4800, al: -1.92e-02, cl: 1.65e-01, trSpan: -9.4717, trEntropy: 0.58, teSpan: -9.4094, tr_step: 480100, time: 68.19
epi: 4900, al: -3.55e-02, cl: 1.24e-01, trSpan: -9.5200, trEntropy: 0.59, teSpan: -9.4491, tr_step: 490100, time: 68.30
epi: 5000, al: -6.28e-02, cl: 1.37e-01, trSpan: -9.5121, trEntropy: 0.61, teSpan: -9.4540, tr_step: 500100, time: 68.13
epi: 5100, al: -1.95e-02, cl: 1.36e-01, trSpan: -9.3669, trEntropy: 0.60, teSpan: -9.4421, tr_step: 510100, time: 68.42
epi: 5200, al: 3.31e-02, cl: 1.26e-01, trSpan: -9.4323, trEntropy: 0.55, teSpan: -9.4107, tr_step: 520100, time: 67.96
epi: 5300, al: 6.13e-02, cl: 1.26e-01, trSpan: -9.5558, trEntropy: 0.56, teSpan: -9.4640, tr_step: 530100, time: 68.58
epi: 5400, al: -5.66e-02, cl: 1.13e-01, trSpan: -9.4893, trEntropy: 0.54, teSpan: -9.4266, tr_step: 540100, time: 68.42
epi: 5500, al: 3.58e-02, cl: 1.55e-01, trSpan: -9.4423, trEntropy: 0.55, teSpan: -9.4298, tr_step: 550100, time: 68.29
epi: 5600, al: -4.70e-02, cl: 1.61e-01, trSpan: -9.3978, trEntropy: 0.56, teSpan: -9.4033, tr_step: 560100, time: 68.05
epi: 5700, al: 2.26e-02, cl: 1.41e-01, trSpan: -9.3963, trEntropy: 0.56, teSpan: -9.4028, tr_step: 570100, time: 68.18
epi: 5800, al: 5.33e-02, cl: 1.33e-01, trSpan: -9.3410, trEntropy: 0.56, teSpan: -9.4325, tr_step: 580100, time: 67.98
